,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
334,"The Hive, Wayanad",Wayanad,Kerala,Deluxe Room1 large double bed,0.0,178920.0,21470.0,0.0,7156.79,9.4,Superb,YES,12.0,YES,NO,YES
335,Ananterra Resort Wayanad,Wayanad,Kerala,"Eco Cottage2 beds (1 extra-large double, 1 sofa bed)",279500.0,251550.0,45279.0,27950.0,10601.04,8.9,Fabulous,YES,274.0,YES,NO,YES
336,MOUNTAIN SHADOWS RESORTS,Wayanad,Kerala,Luxury lake view VillaEntire villa • 1 bedroom • 1 bathroom • 56 m²1 double bed,0.0,547200.0,98496.0,0.0,23060.57,9.2,Superb,YES,251.0,YES,NO,YES
337,Pugmarks Jungle Lodge,Chekadi,Kerala,Family Room with Forest View1 large double bed,0.0,163800.0,19656.0,0.0,6552.0,8.8,Fabulous,YES,28.0,YES,NO,YES
338,"Itsy Hotels Avani Stays, Vyttila, Kochi",Ernakulam,Kerala,Standard Double Room2 single bedsNo prepayment needed – ,229924.0,133356.0,16003.0,96568.0,5334.25,8.5,Very Good,YES,94.0,YES,YES,YES
339,"Treebo Brahma, Wayanad",Mananthavady,Kerala,Standard Double Room1 extra-large double bedNo prepayment needed – ,260053.0,150830.0,18100.0,109223.0,6033.21,6.3,Review Score,YES,32.0,YES,YES,YES
340,Hasco Tower,Palakkad,Kerala,Deluxe Room1 double bed,64240.0,61028.0,7323.0,3212.0,2441.11,8.3,Very Good,YES,914.0,YES,NO,NO
341,Flora Misty Falls Athirappilly,Athirappilly,Kerala,Deluxe Falls View1 large double bed,0.0,409130.0,73643.0,0.0,17241.89,9.1,Superb,YES,195.0,YES,NO,YES
342,Klov Resort & Spa,Wayanad,Kerala,"Double Room with Garden View2 beds (1 single, 1 double)",0.0,182000.0,21840.0,0.0,7280.0,8.8,Fabulous,YES,92.0,YES,NO,YES
343,7TH HEAVEN Kannur,Chakkarakkal,Kerala,"Two-Bedroom HouseEntire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 23 m²3 beds (1 sofa bed, 2 large doubles)No prepayment needed – ",0.0,35910.0,4291.0,0.0,1435.75,7.8,Good,YES,63.0,YES,YES,NO
344,Hunters Hideout Resort,Wayanad,Kerala,King Room with Pool View1 extra-large double bedNo prepayment needed – ,0.0,238000.0,42840.0,0.0,10030.0,9.3,Superb,YES,6.0,YES,YES,NO
345,Hotel O Kattapana,Kattappana,Kerala,Standard Double Room1 large double bedNo prepayment needed – ,58815.0,38230.0,5540.0,20585.0,1563.21,5.2,Review Score,YES,24.0,YES,YES,NO
346,THE SUNSET BAY,Fort Kochi,Kerala,Standard Double Room1 extra-large double bed,0.0,81868.0,9824.0,0.0,3274.71,8.4,Very Good,YES,360.0,NO,NO,NO
347,Time Square Boutique Hotel & Spa,Alleppey,Kerala,Deluxe Double StudioEntire studio • 1 bathroom1 double bed,0.0,41146.0,4938.0,0.0,1645.86,8.2,Very Good,YES,324.0,YES,NO,YES
348,Square Villa Residency Luxury 1 Bed Room Villa with Private Pool,Mukkam,Kerala,"One-Bedroom VillaEntire villa • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 404 m²2 beds (1 sofa bed, 1 large double)No prepayment needed – ",0.0,209916.0,25190.0,0.0,8396.64,9.0,Superb,YES,7.0,YES,YES,NO
349,Marari Villas - Private Pool Villas,"Marari Beach, Mararikulam",Kerala,Villa with Private PoolEntire villa • 1 bedroom • 1 living room • 1 bathroom • 42 m²1 large double bed,0.0,373500.0,67230.0,0.0,15740.36,9.0,Superb,YES,98.0,YES,NO,YES
350,Nexstay River Mouth International,Ferokh,Kerala,Superior Double Room1 large double bed,0.0,72044.0,8645.0,0.0,2881.75,8.0,Very Good,YES,283.0,NO,NO,NO
351,Vanilla County,Vagamon,Kerala,Double or Twin Room with Garden View3 single beds,0.0,252000.0,45360.0,0.0,10620.0,9.2,Superb,YES,91.0,YES,NO,YES
352,"The Leela Ashtamudi, A Raviz Hotel",Kollam,Kerala,Grand Heritage King1 extra-large double bed,0.0,252000.0,45360.0,0.0,10620.0,8.1,Very Good,YES,845.0,YES,NO,YES
353,O'live Inn Wayanad,Vaduvanchal,Kerala,"Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 46 m²3 beds (2 extra-large doubles, 1 sofa bed)No prepayment needed – ",0.0,109463.0,13136.0,0.0,4378.54,0.0,Not Available,YES,2.0,YES,YES,NO
354,KGA Elite Continental Hotel,Thiruvalla,Kerala,Standard Room1 double bedNo prepayment needed – ,0.0,75264.0,9032.0,0.0,3010.57,7.8,Good,No,404.0,YES,YES,NO
355,Super Hotel O Tyche Stays,Trippapur,Kerala,Standard Double Room2 double bedsNo prepayment needed – ,96329.0,62614.0,8823.0,33715.0,2551.32,7.2,Good,No,145.0,YES,YES,NO
356,Hydel Palace Athirappilly by Bestinn Leisure,Athirappilly,Kerala,Deluxe Double Room with Balcony1 double bed,0.0,70135.0,8416.0,0.0,2805.39,8.5,Very Good,No,192.0,YES,NO,NO
357,Sterling Athirappilly,Kallana,Kerala,"Premier RoomEntire studio • 1 bathroom • 29 m²2 beds (1 extra-large double, 1 sofa bed)",223344.0,212177.0,38192.0,11167.0,8941.75,7.9,Good,No,63.0,NO,NO,YES
358,Utsavam Hotel Apartments,Guruvāyūr,Kerala,StudioEntire studio • 1 bathroom • 33 m²1 extra-large double bedNo prepayment needed – ,0.0,32760.0,3931.0,0.0,1310.39,7.5,Good,No,858.0,YES,YES,YES
359,Cleveland Resorts Kanthalloor,Kanthalloor,Kerala,Deluxe Double Room1 large double bedNo prepayment needed – ,0.0,148960.0,17875.0,0.0,5958.39,6.9,Review Score,No,18.0,YES,YES,NO
360,AMARA AYURVEDA RETREAT- Overlooking Evergreen Western Ghats an ecologically sustainable living space in Kovalam,Kovalam,Kerala,"AYUR EARTH VILLA PREMIUM3 beds (2 singles, 1 large double)",0.0,157600.0,18912.0,0.0,6304.0,8.6,Fabulous,No,225.0,YES,NO,NO
361,Great Trails Wayanad by GRT Hotels,Wayanad,Kerala,Estate Villas with varandah1 extra-large double bed,0.0,428000.0,85600.0,0.0,18342.86,9.0,Superb,No,127.0,YES,NO,YES
362,Misty Mountain Experience,Pīrmed,Kerala,The Reverie1 double bed,346866.0,277493.0,49949.0,69373.0,11694.36,8.9,Fabulous,No,28.0,YES,NO,YES
363,Thenmala Ecoresort - The First and the Best,Punalūr,Kerala,Double Room with Patio1 large double bed,0.0,60480.0,7258.0,0.0,2419.21,8.4,Very Good,No,48.0,YES,NO,NO
